sampleid,Missing Variables
01_ICD1_R1,"roomwidth, roomlength, nummasksstart, numcovidmid, numnoncovidmid, numstaffmid, numothermid, numpeoplemid, popdensitymid, smallestopendoorarea, ventratemid, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
02_ICD1_R2,"roomwidth, roomlength, nummasksstart, numcovidmid, numnoncovidmid, numstaffmid, numothermid, numpeoplemid, popdensitymid, numwinfullopen, numwinopen, openwinarea, smallestopenwinarea, numwintotal, opendoorarea, smallestopendoorarea, wintofloorarea, doortofloorarea, windoortofloorarea, ventratemid, rnadate"
03_SR1_R1,"nummasksstart, numwinfullopen, numwinopen, openwinarea, smallestopenwinarea, numwintotal, numfanon, wintofloorarea, windoortofloorarea, notes, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
04_SR1_R2,"nummasksstart, notes, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
05_SR1_R3,"numstaffstart, nummasksstart, opendoorarea, smallestopendoorarea, doortofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
06_SH1_R1,"nummasksstart, notes, rnadate"
07_SH1_R2,"nummasksstart, openwinarea, smallestopenwinarea, numfanon, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
08_SH1_R3,"nummasksstart, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
09_KGH1_R1,"nummasksstart, numoxymask, openwinarea, smallestopenwinarea, numfanon, wintofloorarea, windoortofloorarea, n2quantityreaction, n2quantitysamplex10, rnadate"
10_KGH1_R2,"nummasksstart, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
11_KGH2_R3,"roomwidth, roomlength, nummasksstart, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
12_KGH2_R4,"roomwidth, roomlength, nummasksstart, notes, n2quantityreaction, n2quantitysamplex10, rnadate"
13_KGH2_R5,"roomwidth, roomlength, nummasksstart, notes, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
14_KGH3_R6,"nummasksstart, openwinarea, smallestopenwinarea, wintofloorarea, windoortofloorarea, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
15_KGH3_R7,"nummasksstart, n1quantityreaction, n2quantityreaction, n2quantitysamplex10, rnadate"
16_KGH4_R8A,"nummasksstart, n2quantityreaction, n2quantitysamplex10, rnadate"
17_KGH4_R8B,"nummasksstart, n2quantityreaction, n2quantitysamplex10, rnadate"
18_KGH5_R9,"nummasksstart, rnadate"
