"","Detected","Undetected","p","test"
"n","    14","    72","",""
"locationtype (%)","     ","    "," 0.549",""
"   ICU","     1 ( 7.1) ","     8 (11.1) ","",""
"   OPD","     3 (21.4) ","     9 (12.5) ","",""
"   Open ward","     5 (35.7) ","    23 (31.9) ","",""
"   Other","     1 ( 7.1) ","    18 (25.0) ","",""
"   Private room","     4 (28.6) ","    14 (19.4) ","",""
"covidspace = Non COVID (%)","     4 (28.6) ","    17 (23.6) "," 0.956",""
"roomvol (median [IQR])","122.28 [87.83, 308.67]","135.92 [63.17, 364.92]"," 0.925","nonnorm"
"co2average (median [IQR])","848.29 [678.07, 1,190.07]","798.29 [561.96, 1,084.14]"," 0.387","nonnorm"
"tempstart (median [IQR])"," 26.25 [25.13, 27.15]"," 25.65 [24.20, 27.53]"," 0.454","nonnorm"
"humiditystart (median [IQR])"," 64.75 [61.65, 71.43]"," 61.85 [57.85, 70.37]"," 0.264","nonnorm"
"numcovidstart (median [IQR])","  1.50 [0.25, 4.50]","  1.00 [0.00, 5.00]"," 0.915","nonnorm"
"numpeopleavg (median [IQR])"," 11.33 [3.67, 25.33]","  6.50 [2.00, 24.08]"," 0.290","nonnorm"
"numstaffstart (median [IQR])","  0.00 [0.00, 2.00]","  0.00 [0.00, 3.00]"," 0.659","nonnorm"
"popdensityavg (median [IQR])","  0.17 [0.11, 0.29]","  0.13 [0.08, 0.23]"," 0.332","nonnorm"
"totfan (median [IQR])","  3.00 [1.25, 6.25]","  0.00 [0.00, 6.00]"," 0.117","nonnorm"
"numfanon (median [IQR])","  0.00 [0.00, 1.75]","  0.00 [0.00, 1.00]"," 0.370","nonnorm"
"numacon (median [IQR])","  0.00 [0.00, 0.00]","  0.00 [0.00, 1.00]"," 0.408","nonnorm"
"numdoortotal (median [IQR])","  2.00 [1.00, 2.75]","  1.00 [1.00, 2.00]"," 0.372","nonnorm"
"numdooropen (median [IQR])","  1.00 [1.00, 1.00]","  1.00 [1.00, 2.00]"," 0.880","nonnorm"
"doortofloorarea (median [IQR])","  0.04 [0.02, 0.08]","  0.04 [0.00, 0.09]"," 0.724","nonnorm"
"numwintotal (median [IQR])","  1.00 [0.00, 3.75]","  1.00 [0.00, 4.00]"," 0.734","nonnorm"
"numwinopen (median [IQR])","  0.00 [0.00, 0.00]","  0.00 [0.00, 1.00]"," 0.455","nonnorm"
"percent_window_open (median [IQR])","  0.00 [0.00, 83.33]"," 17.65 [0.00, 100.00]"," 0.576","nonnorm"
"wintofloorarea (median [IQR])","  0.00 [0.00, 0.00]","  0.00 [0.00, 0.01]"," 0.403","nonnorm"
"ach (median [IQR])","  2.94 [2.04, 4.85]","  2.62 [1.49, 5.44]"," 0.752","nonnorm"
"ventrateavg (median [IQR])"," 11.89 [6.70, 19.11]"," 13.31 [7.69, 32.26]"," 0.393","nonnorm"
