"","ICU","OPD","Open ward","Other","Private room","p","test"
"n","     9","      12","    28","    19","    18","",""
"roomvol (median [IQR])","332.63 [263.33, 523.64]","  251.15 [149.62, 428.92]","278.95 [129.39, 1,180.68]"," 29.29 [16.46, 73.66]"," 82.11 [61.31, 91.73]","<0.001","nonnorm"
"floorarea (median [IQR])","111.48 [78.88, 172.80]","   94.16 [54.41, 159.37]"," 82.63 [38.46, 389.89]"," 12.01 [6.65, 21.56]"," 32.34 [23.01, 33.62]","<0.001","nonnorm"
"roomheight (median [IQR])","  2.60 [2.46, 3.45]","    2.72 [2.69, 3.15]","  3.23 [2.67, 3.43]","  2.67 [2.41, 3.38]","  2.57 [2.54, 3.01]"," 0.028","nonnorm"
"popdensityavg (median [IQR])","  0.11 [0.07, 0.16]","    0.33 [0.24, 0.66]","  0.19 [0.08, 0.28]","  0.11 [0.07, 0.20]","  0.08 [0.07, 0.12]","<0.001","nonnorm"
"openwinarea (median [IQR])","  0.00 [0.00, 0.00]","    0.00 [0.00, 1.24]","  0.49 [0.00, 3.00]","  0.00 [0.00, 0.00]","  0.00 [0.00, 0.00]"," 0.002","nonnorm"
"opendoorarea (median [IQR])","  0.00 [0.00, 2.16]","    4.72 [3.36, 14.54]","  3.10 [1.88, 5.16]","  1.55 [0.00, 1.76]","  1.64 [0.21, 2.35]","<0.001","nonnorm"
"numfanon (median [IQR])","  0.00 [0.00, 1.00]","    0.00 [0.00, 0.25]","  1.00 [0.00, 10.75]","  0.00 [0.00, 0.00]","  0.00 [0.00, 1.00]"," 0.008","nonnorm"
"numacon (median [IQR])","  1.00 [1.00, 2.00]","    0.00 [0.00, 0.00]","  0.00 [0.00, 0.00]","  0.00 [0.00, 0.00]","  0.00 [0.00, 1.00]","<0.001","nonnorm"
"co2average (median [IQR])","931.00 [793.71, 1,145.86]","1,220.86 [834.96, 1,492.89]","764.57 [510.86, 860.43]","891.14 [665.86, 1,272.07]","617.00 [536.43, 762.52]"," 0.006","nonnorm"
"Q (median [IQR])","171.02 [86.98, 179.54]","  354.43 [105.35, 423.46]","293.44 [185.31, 802.15]"," 16.69 [6.87, 51.77]"," 50.62 [37.11, 137.56]","<0.001","nonnorm"
"ach (median [IQR])","  1.66 [1.21, 1.98]","    4.54 [2.05, 7.40]","  3.62 [2.49, 5.03]","  1.62 [1.06, 4.46]","  2.94 [1.53, 5.50]"," 0.005","nonnorm"
"ventrateavg (median [IQR])","  9.79 [7.03, 13.38]","    6.63 [4.80, 12.26]"," 14.66 [11.47, 45.90]"," 10.81 [6.07, 21.07]"," 24.93 [14.72, 37.05]"," 0.007","nonnorm"
