"","Detected","Undetected","p","test"
"n","    16","    70","",""
"roomvol (median [IQR])","145.55 [88.11, 492.46]","133.14 [59.83, 335.93]"," 0.351","nonnorm"
"floorarea (median [IQR])"," 49.70 [31.95, 184.64]"," 48.45 [20.86, 110.41]"," 0.274","nonnorm"
"roomheight (median [IQR])","  2.72 [2.56, 3.15]","  2.94 [2.55, 3.40]"," 0.523","nonnorm"
"popdensityavg (median [IQR])","  0.17 [0.10, 0.26]","  0.12 [0.06, 0.23]"," 0.248","nonnorm"
"openwinarea (median [IQR])","  0.00 [0.00, 1.01]","  0.00 [0.00, 0.68]"," 0.868","nonnorm"
"opendoorarea (median [IQR])","  2.39 [1.67, 5.03]","  2.02 [1.29, 3.22]"," 0.244","nonnorm"
"fan_on = 1 (%)","     8 (50.0) ","    19 (27.1) "," 0.139",""
"acon_on = 1 (%)","     3 (18.8) ","    18 (25.7) "," 0.793",""
"windowsopp = 1 (%)","     4 (25.0) ","    22 (31.4) "," 0.839",""
"co2average (median [IQR])","828.43 [669.29, 1,108.50]","798.29 [561.32, 1,125.29]"," 0.520","nonnorm"
"Q (median [IQR])","160.47 [69.58, 411.62]","162.53 [46.97, 343.33]"," 0.588","nonnorm"
"ventrateavg (median [IQR])"," 12.34 [7.51, 19.75]"," 13.31 [8.06, 32.26]"," 0.485","nonnorm"
"ach (median [IQR])","  2.94 [1.95, 4.35]","  2.91 [1.57, 5.70]"," 0.914","nonnorm"
