door_serial,Width of open door ${door_serial}  (inches),Height of open door  ${door_serial}   (inches),_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status
1,45.0,81.0,1,Air sampling ODK_v2,1,75175186,eecaa413-2f59-4764-a5cd-99f8a2874701,2020-11-20T16:35:16,
1,45.0,81.0,2,Air sampling ODK_v2,2,75175165,bc27a441-5069-42ee-9d2c-e75f64fb47cb,2020-11-20T16:35:11,
1,39.0,84.0,3,Air sampling ODK_v2,3,74480967,0e0d2b1a-3075-4e36-b31b-ea7aa0221451,2020-11-16T13:05:39,
1,77.0,34.0,4,Air sampling ODK_v2,6,75187804,49e8e7fb-2558-4b16-9e0a-72726415e30c,2020-11-20T18:06:40,
1,34.0,77.0,5,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
2,34.0,77.0,6,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
1,45.0,81.0,7,Air sampling ODK_v2,10,75595610,f01b062d-3a35-4b75-9e92-6a5b41a5b5da,2020-11-23T11:17:37,
1,45.0,81.0,8,Air sampling ODK_v2,11,76103551,0cd5ed39-a91c-4bf7-8793-9f00e8016300,2020-11-25T19:04:31,
1,45.0,81.0,9,Air sampling ODK_v2,12,76112655,d2a0ac03-8eef-468e-ac2d-650ae85db65a,2020-11-25T20:14:44,
1,45.0,81.0,10,Air sampling ODK_v2,13,76112657,95aaf65e-1a27-4cf4-8f79-19a583f401ab,2020-11-25T20:14:45,
1,30.0,78.0,11,Air sampling ODK_v2,15,76978217,e8c0e9d3-c67e-45f3-9b55-26e117b01db7,2020-12-01T16:32:05,
1,30.0,79.0,12,Air sampling ODK_v2,16,76978220,9380d11f-0c65-4fd5-ab89-cee812b53637,2020-12-01T16:32:07,
1,75.0,17.0,13,Air sampling ODK_v2,17,76978223,5758e9e5-eac0-4b8d-82e7-a0d3ab4bf070,2020-12-01T16:32:08,
1,36.0,81.0,14,Air sampling ODK_v2,18,76978229,49dfd612-e830-4c93-84c7-c29deff07c21,2020-12-01T16:32:09,
1,36.0,81.0,15,Air sampling ODK_v2,19,76978232,f9ad29af-b532-4426-9435-c0c56711c0f5,2020-12-01T16:32:11,
1,35.0,82.0,16,Air sampling ODK_v2,20,76978234,3d5ec116-9ec6-4617-99b4-689f45d7b004,2020-12-01T16:32:13,
1,30.0,78.0,17,Air sampling ODK_v2,21,77144692,c2248fa8-b79b-47f5-8cc3-1f266a758fed,2020-12-02T21:28:07,
2,30.0,78.0,18,Air sampling ODK_v2,21,77144692,c2248fa8-b79b-47f5-8cc3-1f266a758fed,2020-12-02T21:28:07,
1,34.0,79.0,19,Air sampling ODK_v2,22,77239693,61ca05cc-84b9-4097-b968-1d00be0712eb,2020-12-03T16:21:05,
2,34.0,79.0,20,Air sampling ODK_v2,22,77239693,61ca05cc-84b9-4097-b968-1d00be0712eb,2020-12-03T16:21:05,
3,34.0,79.0,21,Air sampling ODK_v2,22,77239693,61ca05cc-84b9-4097-b968-1d00be0712eb,2020-12-03T16:21:05,
4,17.0,79.0,22,Air sampling ODK_v2,22,77239693,61ca05cc-84b9-4097-b968-1d00be0712eb,2020-12-03T16:21:05,
5,17.0,79.0,23,Air sampling ODK_v2,22,77239693,61ca05cc-84b9-4097-b968-1d00be0712eb,2020-12-03T16:21:05,
6,17.0,79.0,24,Air sampling ODK_v2,22,77239693,61ca05cc-84b9-4097-b968-1d00be0712eb,2020-12-03T16:21:05,
