window_serial,Width of open window ${window_serial}  (inches),Height of open window  ${window_serial}   (inches),Type of window,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status
1,52.0,32.0,,1,Air sampling ODK_v2,6,75187804,49e8e7fb-2558-4b16-9e0a-72726415e30c,2020-11-20T18:06:40,
2,52.0,32.0,,2,Air sampling ODK_v2,6,75187804,49e8e7fb-2558-4b16-9e0a-72726415e30c,2020-11-20T18:06:40,
3,52.0,16.0,,3,Air sampling ODK_v2,6,75187804,49e8e7fb-2558-4b16-9e0a-72726415e30c,2020-11-20T18:06:40,
1,19.0,56.0,,4,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
2,19.0,56.0,,5,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
3,19.0,56.0,,6,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
4,19.0,56.0,,7,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
5,19.0,56.0,,8,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
6,19.0,56.0,,9,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
7,19.0,56.0,,10,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
8,19.0,56.0,,11,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
9,19.0,56.0,,12,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
10,19.0,56.0,,13,Air sampling ODK_v2,7,75187809,be2ba747-26a8-417b-a344-a47724c1f623,2020-11-20T18:06:41,
